elapsed_time_sec,received_time_sec,joint_0_torque_nm,joint_1_torque_nm,joint_2_torque_nm,joint_3_torque_nm,joint_4_torque_nm,joint_5_torque_nm,joint_6_torque_nm,joint_7_torque_nm,joint_8_torque_nm,joint_9_torque_nm,joint_10_torque_nm,joint_11_torque_nm
2.515384064,1773236631.52289,-26.524089283517633,6.5768030852321,42.069342060863875,-30.045350558709227,5.401136464617176,47.84620323134677,16.776792833460686,11.630373403147281,51.511349853972156,35.35191737002141,6.033703578941594,53.15454752794551
2.520480262,1773236631.5279863,-26.525293110302982,6.568476161116424,42.071317216126374,-30.03829372843925,5.391414252072838,47.836663223051545,16.78026648085466,11.621497605143883,51.50699577648898,35.34581256159401,6.023017103680026,53.137009685414355
2.525692443,1773236631.5331984,-26.526499353547656,6.56015392446487,42.07329319869359,-30.031240874331193,5.381697947505316,47.82712699204845,16.783737016398682,11.612626993424527,51.50264544115205,35.33970394599196,6.012337228639448,53.11948114055448
2.531659402,1773236631.5391653,-26.527708719800124,6.5518404310511595,42.075271384087664,-30.024194011689033,5.371992461043186,47.817597250283804,16.78720253458629,11.60376643149799,51.498301670560245,35.33359067637905,6.0016697301411055,53.10196718524688
2.541919978,1773236631.5494258,-26.528921792009058,6.543538547507796,42.077252900861396,-30.017154772441156,5.362301292377044,47.80807576897657,16.790661447363217,11.594919402968982,51.49396658557739,35.327472128238504,5.991018743424254,53.084471301474665
2.562771,1773236631.570277,-26.518172810195523,6.625238089334125,42.06129209502226,-30.082244925808713,5.457273772196852,47.89709739184435,16.7559621799089,11.681564469184712,51.53316042882197,35.38074210865329,6.095780433231197,53.24466889889676
2.569519618,1773236631.5770257,-26.51885620539927,6.615503230752786,42.06218002125942,-30.074342872528586,5.446107205328769,47.88627975031188,16.75966216759021,11.671287813933272,51.527725657516896,35.37433238900024,6.083614757570163,53.22580361057973
2.575817238,1773236631.5833232,-26.51954002493347,6.605768154901974,42.06307019622594,-30.066442301793,5.434939929824323,47.875460354028505,16.763360902394908,11.66101095458238,51.5222934206026,35.36792185805391,6.071447803931863,53.20693612899801
2.581756084,1773236631.589262,-26.520217574830415,6.596004841956231,42.063955135641876,-30.05852864801389,5.423737566425422,47.86461920298203,16.767072044855,11.65070059815391,51.51684603056471,35.3615188268363,6.059238992242548,53.1880272418055
2.587855159,1773236631.595361,-26.520892251931027,6.586224934926309,42.06483649314543,-30.05060811504114,5.412514830636237,47.85376594457698,16.770790175351973,11.640370227246825,51.51139000686664,35.35511851091709,6.047005629109102,53.16909637630774
2.593160973,1773236631.6006668,-26.521566415796116,6.576437361029162,42.065715889937124,-30.042685397934736,5.401282853977904,47.84290772081875,16.77451114392293,11.63003024090441,51.505930544412145,35.34871771494986,6.034760772472525,53.15015773442017
2.601880186,1773236631.609386,-26.522724510409496,6.568218435255302,42.067611974100394,-30.035527233459156,5.391669883420727,47.83316389278639,16.777902005394186,11.621276508182234,51.50161460476172,35.34247892762585,6.024203834247249,53.132555826345765
2.612371583,1773236631.6198773,-26.5238849283393,6.560004114883442,42.069509271575974,-30.028373258402386,5.382062713646923,47.82342431013822,16.781289947580493,11.612527600952047,51.4973028891854,35.336236080036215,6.0136530426523915,53.114963986237676
2.626264496,1773236631.6337705,-26.525048359836838,6.55179843193376,42.07140913912633,-30.021225469749183,5.3724662272381245,47.81369171643848,16.784673091862864,11.603788345117414,51.492998190094305,35.32998834342844,6.003114136674914,53.097387528771264
2.638669979,1773236631.6461759,-26.526215375771347,6.543604219697695,42.073312681032114,-30.014085479107894,5.362883881007678,47.803967929841356,16.78804987407901,11.59506217348187,51.488702596070844,35.323735098690456,5.99259119761696,53.07982998461234
2.661044757,1773236631.6685507,-26.515702444921107,6.625223763445588,42.05684425318995,-30.079299094145494,5.457804954440956,47.89254713084846,16.75246869508356,11.681568997594724,51.526870594053285,35.375973363880675,6.097400585948916,53.239166281000756
2.66642982,1773236631.6739357,-26.51625370782777,6.615659247185635,42.05765486328946,-30.07119796417353,5.446809101771175,47.88147801434001,16.756145162218775,11.671480026849142,51.52153300601958,35.36947473299309,6.085423531336423,53.22024800796895
